# SOURCE FLAG
# xG values (xg_home, xg_away) are sourced from FBref (Opta), not from the app screenshot.
# All other fields (date, teams, score, possession, shots, corners, scorers, minutes) are read from the app.
# Possession: when app and FBref differ, use the average of the two.
# Do not treat xG as app-sourced data.
# Date format: DD/MM/YYYY for all SofaScore-sourced rows (pl-2020-*). FBref rows (pl-2019-*) remain YYYY-MM-DD.
id_odsp,date,league,season,country,ht,at,fthg,ftag,odd_h,odd_d,odd_a,xg_home,xg_away
pl-2020-0022,26/09/2020,Premier League,2020,england,Burnley,Southampton,0,1,,,,0.5,0.6
pl-2020-0023,27/09/2020,Premier League,2020,england,Sheffield Utd,Leeds,0,1,,,,1.6,1.6
pl-2020-0024,27/09/2020,Premier League,2020,england,Tottenham,Newcastle,1,1,,,,2.3,1.0
pl-2020-0025,27/09/2020,Premier League,2020,england,Man City,Leicester,2,5,,,,0.9,2.6
pl-2020-0026,27/09/2020,Premier League,2020,england,West Ham,Wolves,4,0,,,,1.6,0.5
pl-2020-0027,28/09/2020,Premier League,2020,england,Fulham,Aston Villa,0,3,,,,0.7,1.6
pl-2020-0028,28/09/2020,Premier League,2020,england,Liverpool,Arsenal,3,1,,,,3.2,1.2
pl-2020-0029,03/10/2020,Premier League,2020,england,Chelsea,Crystal Palace,4,0,,,,2.5,0.1
pl-2020-0030,03/10/2020,Premier League,2020,england,Everton,Brighton,4,2,,,,1.8,1.2
pl-2020-0031,03/10/2020,Premier League,2020,england,Leeds,Man City,1,1,,,,1.7,1.5
pl-2020-0032,03/10/2020,Premier League,2020,england,Newcastle,Burnley,3,1,,,,2.0,0.6
pl-2020-0033,04/10/2020,Premier League,2020,england,Leicester,West Ham,0,3,,,,0.4,1.6
pl-2020-0034,04/10/2020,Premier League,2020,england,Southampton,West Brom,2,0,,,,1.2,0.1
pl-2020-0035,04/10/2020,Premier League,2020,england,Arsenal,Sheffield Utd,2,1,,,,0.4,0.2
pl-2020-0036,04/10/2020,Premier League,2020,england,Wolves,Fulham,1,0,,,,1.2,0.7
pl-2020-0037,04/10/2020,Premier League,2020,england,Man United,Tottenham,1,6,,,,0.9,3.8
pl-2020-0038,04/10/2020,Premier League,2020,england,Aston Villa,Liverpool,2,7,,,,3.9,1.8
pl-2020-0039,17/10/2020,Premier League,2020,england,Everton,Liverpool,2,2,,,,1.3,2.2
pl-2020-0040,17/10/2020,Premier League,2020,england,Chelsea,Southampton,3,3,,,,2.0,2.2
pl-2020-0041,17/10/2020,Premier League,2020,england,Man City,Arsenal,1,0,,,,1.5,0.9
pl-2020-0042,17/10/2020,Premier League,2020,england,Newcastle,Man United,1,4,,,,0.5,2.7
pl-2020-0043,18/10/2020,Premier League,2020,england,Sheffield Utd,Fulham,1,1,,,,1.5,1.7
pl-2020-0044,18/10/2020,Premier League,2020,england,Crystal Palace,Brighton,1,1,,,,0.8,1.1
pl-2020-0045,18/10/2020,Premier League,2020,england,Tottenham,West Ham,3,3,,,,1.2,2.1
pl-2020-0046,18/10/2020,Premier League,2020,england,Leicester,Aston Villa,0,1,,,,0.5,0.6
pl-2020-0047,19/10/2020,Premier League,2020,england,West Brom,Burnley,0,0,,,,1.0,1.1
pl-2020-0048,19/10/2020,Premier League,2020,england,Leeds,Wolves,0,1,,,,1.6,0.5
pl-2020-0049,23/10/2020,Premier League,2020,england,Aston Villa,Leeds,0,3,,,,1.2,3.6
pl-2020-0050,24/10/2020,Premier League,2020,england,West Ham,Man City,1,1,,,,0.5,1.1
pl-2020-0051,24/10/2020,Premier League,2020,england,Fulham,Crystal Palace,1,2,,,,1.1,2.6
pl-2020-0052,24/10/2020,Premier League,2020,england,Man United,Chelsea,0,0,,,,0.7,0.2
pl-2020-0053,06/11/2020,Premier League,2020,england,Brighton,Burnley,0,0,,,,0.7,0.6
pl-2020-0054,06/11/2020,Premier League,2020,england,Southampton,Newcastle,2,0,,,,1.2,0.5
pl-2020-0055,07/11/2020,Premier League,2020,england,Everton,Man United,1,3,,,,0.4,1.5
pl-2020-0056,07/11/2020,Premier League,2020,england,Crystal Palace,Leeds,4,1,,,,1.0,1.3
pl-2020-0057,07/11/2020,Premier League,2020,england,Chelsea,Sheffield Utd,4,1,,,,2.8,0.4
pl-2020-0058,07/11/2020,Premier League,2020,england,West Ham,Fulham,1,0,,,,1.6,0.3
pl-2020-0059,08/11/2020,Premier League,2020,england,West Brom,Tottenham,0,1,,,,0.5,1.4
pl-2020-0060,08/11/2020,Premier League,2020,england,Leicester,Wolves,1,0,,,,1.3,0.7
pl-2020-0061,08/11/2020,Premier League,2020,england,Man City,Liverpool,1,1,,,,1.4,1.2
pl-2020-0062,08/11/2020,Premier League,2020,england,Arsenal,Aston Villa,0,3,,,,1.1,1.5
pl-2020-0063,21/11/2020,Premier League,2020,england,Newcastle,Chelsea,0,2,,,,0.8,1.7
